F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1.0,22.0,28.0,4.0,4.0,33.0,1.2941176470588236,1.6470588235294117,5.0,0.0,26.0,0.0,17.0,17.0,16.0,0.9895875209335164,3.6793477682872,0.68,5.0,11.0,16.0,17.0,0.8365012677171205,0.823529411764706,0.9665692191267636,0.9150793638884732,1.6989688100935976,6.528646415637519,4.412027866948978,44.8690221858334,-0.12,28.0,50.0,21.0,4.129236619374021,1
0.0,26.0,24.0,5.0,4.0,26.0,1.8571428571428568,1.8461538461538465,2.0,0.0,15.0,1.0,14.0,13.0,18.0,0.9988455357066628,2.299652147608416,0.54,12.0,11.0,13.0,13.0,0.9434164716336324,1.1866605518454392,1.0262818510866412,1.1123449939023116,1.1015852691443075,5.296668315789301,3.334813988131818,32.00556689770955,0.04,29.0,49.0,28.0,4.642489673166124,0
1.0,21.0,29.0,6.0,5.0,24.0,1.75,2.230769230769231,2.0,1.0,13.0,1.0,12.0,13.0,18.0,0.9814538947451146,2.0024984394500787,0.5,9.0,16.0,12.0,12.0,0.7858751946471527,1.5343293866268306,1.1200169060431566,1.3564659966250536,1.4423669623848632,5.185542068687464,4.371455576559546,31.065882674858997,-0.16,29.0,48.0,25.0,4.457919564564537,0
0.0,28.0,22.0,4.0,4.0,25.0,2.1538461538461537,1.6923076923076923,1.0,0.0,13.0,0.0,13.0,13.0,17.0,0.9895875209335164,2.1469979040511427,0.52,15.0,9.0,13.0,12.0,0.8365012677171205,1.166596222161777,1.0658774200423855,1.1409536133993328,0.9276377198528332,4.646795817924876,2.3563223140495864,24.87491110112204,0.12,30.0,45.0,28.0,4.7081320646586,1
0.0,26.0,24.0,3.0,4.0,41.0,1.238095238095238,1.1428571428571428,5.0,0.0,38.0,1.0,21.0,21.0,16.0,0.9988455357066628,5.319248067161372,0.84,5.0,3.0,21.0,20.0,0.9434164716336324,0.6098213559459856,0.63887656499994,0.6263307827602811,3.323284472047117,6.815360738570385,13.031541314444189,47.6362392768654,0.04,23.0,48.0,15.0,2.969997547967329,1
-1.0,25.0,25.0,3.0,3.0,34.0,1.3888888888888888,1.4705882352941178,3.0,0.0,23.0,0.0,18.0,17.0,16.0,0.9999999997114608,3.448187929913334,0.7,7.0,8.0,17.0,17.0,1.0,0.5905636562630361,0.6960093862470137,0.6452337023220694,1.2242323417760133,5.686681597595519,3.3016147635524784,35.66226221439732,0.0,31.0,49.0,23.0,4.229871195093383,1
0.0,27.0,23.0,6.0,3.0,31.0,1.6875,1.4375,3.0,0.0,21.0,3.0,16.0,16.0,17.0,0.9953784385316868,3.0968370961353457,0.64,11.0,7.0,16.0,15.0,0.8889686876112561,1.260890062614501,0.7043392293490403,1.0288798520721456,2.6723613450588357,5.857401876920244,11.23597173241105,37.72943898185806,0.08,28.0,46.0,25.0,4.370963042825406,0
0.0,28.0,22.0,6.0,5.0,22.0,2.333333333333333,2.0,1.0,1.0,10.0,1.0,12.0,11.0,18.0,0.9895875209335164,1.7229045243425418,0.46,16.0,11.0,11.0,11.0,0.8365012677171205,1.5986105077709063,1.2792042981336629,1.4641268035202375,1.2766005823271311,4.50235770603276,3.528395994886299,22.98366178092843,0.12,31.0,44.0,28.0,4.691721466785482,0
0.0,28.0,22.0,3.0,3.0,38.0,1.4,1.1578947368421053,3.0,0.0,31.0,0.0,20.0,19.0,17.0,0.9895875209335164,4.392220395198765,0.78,8.0,3.0,19.0,19.0,0.8365012677171205,0.66332495807108,0.488085183973458,0.5969459859909135,1.9726991729692789,6.529255093718543,5.584503206655683,44.839230090548725,0.12,26.0,49.0,16.0,3.5401860130162053,1
0.0,34.0,16.0,5.0,2.0,29.0,2.2666666666666666,1.0666666666666669,0.0,0.0,19.0,3.0,15.0,15.0,17.0,0.9043814574359548,2.785677655436824,0.6,19.0,1.0,14.0,15.0,0.5563933485243853,1.236482466066094,0.2494438257849294,1.07496769977314,1.657771933451921,5.905390895393422,4.81508875739645,38.35646721224359,0.36,27.0,50.0,16.0,3.7442473597099615,1
0.0,29.0,21.0,7.0,5.0,25.0,2.230769230769231,1.6153846153846154,3.0,1.0,19.0,2.0,13.0,13.0,17.0,0.9814538947451146,2.670131082924581,0.52,16.0,8.0,13.0,12.0,0.7858751946471527,2.0438969623979117,1.273303489018988,1.7303418275695372,1.7221644087246903,6.628010588969957,4.644854629817683,45.89211719860501,0.16,26.0,43.0,21.0,3.992640556327225,1
